RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
20-12-2023,AC1ACH1271,0.4 X 1070 X RAL 9002,270,REGULAR,BOP,210
20-12-2023,KC2ACI2671,0.4 X 1070 X RAL 9002,160,REGULAR,BOP,210
21-12-2023,BTSLKO-4901X/4,0.5 X 1065 X S S,800,REGULAR,REGULAR,209
21-12-2023,VN2309010051-02-02,0.5 X 1065 X S S,690,REGULAR,REGULAR,209
21-12-2023,VN2309010051-02-01,0.5 X 1065 X S S,750,REGULAR,REGULAR,209
24-12-2023,23CA0059729,0.5 X 1065 X RAL 5010 ALUMINIUM,2065,FABEX,Others,206
24-12-2023,23CA0059733,0.5 X 1220 X RAL 5010 ALUMINIUM,325,FABEX,Others,206
27-12-2023,TC2ACL6419,0.6 X 1220 X RAL 9001,4060,BEARY,Manoj,203
27-12-2023,TC2ACL6420,0.6 X 1220 X RAL 9001,4055,BEARY,Manoj,203
27-12-2023,TC2ACL6417,0.6 X 1220 X RAL 9001,4275,BEARY,Manoj,203
27-12-2023,TC2ACL6416,0.6 X 1220 X RAL 9001,3765,BEARY,Manoj,203
27-12-2023,TC2ACL6418,0.6 X 1150 X RAL 9001,1700,BEARY,Manoj,203
27-12-2023,TC2ACK5597/5579,0.6 X 1220 X RAL 8004,4195,BEARY,Manoj,203
27-12-2023,TC2ACK5595,0.6 X 1220 X RAL 8004,4720,BEARY,Manoj,203
27-12-2023,TC2ACK5596,0.6 X 1220 X RAL 8004,4600,BEARY,Manoj,203
27-12-2023,TC1ACK0831,0.6 X 1220 X RAL 9002,4590,BEARY,Manoj,203
29-12-2023,W3LPP19511,0.5 X 1085 X RAL 9002,2140,REGULAR,REGULAR,201
29-12-2023,K240841211,0.5 X 1220 X SKY BLUE,622,REGULAR,REGULAR,201
29-12-2023,K3A0591100,0.47 X 1220 X BGL,1390,REGULAR,REGULAR,201
06-Jan,W3LPP20868,0.3 X 1220 X RAL 5002,3645,ADHANI,Manoj,193
06-Jan,W3LPP0866,0.3 X 1220 X RAL 5002,4090,ADHANI,Manoj,193
06-Jan,W3LPP20926,0.5 X 1080 X RAL 9002,1705,HEAVEN,Senthil,193
08-01-2024,W3LPP21267,0.47 X 1220 X RAL 9002,740,REGULAR,REGULAR,191
08-01-2024,W3LPP21043,0.5 X 1085 X RAL 9002,320,REGULAR,BOP,191
08-01-2024,A3A0828222,0.5 X 1220 X RAL 7015,240,REGULAR,BOP,191
09-01-2024,VC3ACL0973,0.5 X 1080 X RAL 9006,130,DOOTH,BOP,190
09-01-2024,KC2J11L2457,0.35 X 1220 X BRICK RED,220,REGULAR,BOP,190
09-01-2024,KC2J1L2461,0.35 X 1220 X BRICK RED,1185,REGULAR,REGULAR,190
11-01-2024,VC3ACL0974,0.5 X 1080 X RAL 9006,230,DOOTH,BOP,188
12-01-2024,TY00294605,0.55 X 1065 X SS,1010,COLD STORAGE,Vivek,187
13-01-2024,VXNRDA7037,0.5 X 1060 X RAL 7038 PVDF,3635,ADHANI,Manoj,186
13-01-2024,VC1ADA0183,0.5 X 1060 X RAL 7038 PVDF,3545,ADHANI,Manoj,186
13-01-2024,VC1ADA0185,0.5 X 1060 X RAL 7038 PVDF,4420,ADHANI,Manoj,186
13-01-2024,VC1ADA0184,0.5 X 1060 X RAL 7038 PVDF,165,ADHANI,BOP,186
13-01-2024,VC1ADA0188,0.5 X 1220 X RAL 5012 PVDF,4205,ADHANI,Manoj,186
13-01-2024,VC1ADA0189,0.5 X 1220 X RAL 5012 PVDF,2905,ADHANI,Manoj,186
14-01-2024,TC2ADA5455,0.5 X 1080 X RAL 9002(SDP),3660,CHINA CON / AED,Manoj,185
18-01-2024,TC2ADA5466,0.5 X 1080 X RAL 9002(SDP),4400,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5465,0.5 X 1080 X RAL 9002(SDP),3580,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5464,0.5 X 1080 X RAL 9002(SDP),3685,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5457,0.5 X 1080 X RAL 9002(SDP),3690,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5475,0.5 X 1080 X RAL 9002(SDP),4350,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5459,0.5 X 720 X RAL 9002(SDP),2955,CHINA CONSTRUCTION,Senthil,181
18-01-2024,TC2ADA5463,0.5 X 1080 X RAL 9002(SDP),3570,KEI,Senthil,181
18-01-2024,TC2ADA5242,0.5 X 1150 X RAL 9006,140,AED,BOP,181
18-01-2024,TC2ADA5503,0.5 X 1060 X RAL 9002 SMP,925,REGULAR,REGULAR,181
18-01-2024,24APL00678,0.35 X 1220 X RAL 9002,240,REGULAR,BOP,181
18-01-2024,24APL00557,0.4 X 1220 X RAL 7015,190,REGULAR,BOP,181
18-01-2024,24APL00556,0.4 X 1220 X RAL 7015,320,REGULAR,BOP,181
19-01-2024,TC2ADA5473,0.5 X 1080 X RAL 9002(SDP),4420,KEI,Senthil,180
19-01-2024,TC2ADA5251,0.5 X 1150 X RAL 9006,191,AED,BOP,180
20-01-2024,PZ1C7L2600,0.5 X 1220 X RAL 9002,415,Rajalakshmi,BOP,179
20-01-2024,PZ1CPL0434,0.5 X 1220 X RAL 9002,235,Rajalakshmi,BOP,179
20-01-2024,TC2ADA5450,0.5 X 1080 X RAL 9002(SDP),4045,KEI,Senthil,179
20-01-2024,TAPRDA2127,0.5 X 1080 X RAL 9002(SDP),3125,CHINA CONSTRUCTION,Senthil,179
23-01-2024,KG4ACK0618,0.45 X 1220 X BGL,345,REGULAR,BOP,176
23-01-2024,24CA0000700,0.5 X 1220 X Aluminium Grey,220,REGULAR,REGULAR,176
24-01-2024,W4APP01698,0.47 X 1220 X RAL 9002,1355,infinate,Others,175
27-01-2024,TC2ADA5834,0.7 X 1150 X RAL 2000,815,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5828,0.7 X 1150 X RAL 7045,1960,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5825,0.7 X 1150 X RAL 7045,3920,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5820,0.7 X 1150 X RAL 9010,4570,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5837,0.7 X 1150 X RAL 2000,1555,CHINA CONSTRUCTION,Senthil,172
28-01-2024,W3KPP17101,0.4 X 1070 X RAL 9002,170,REGULAR,BOP,171
30-01-2024,AC1ACI1830,0.3 X 1065 X RAL 9002,2267,REGULAR,REGULAR,169
03-Feb,W3JPP15628,0.3 X 1070 X RAL 9002,685,REGULAR,REGULAR,165
03-Feb,W3JPP15626,0.3 X 1070 X RAL 9002,800,REGULAR,REGULAR,165
03-Feb,W3JPP15631,0.3 X 1070 X RAL 9002,685,REGULAR,REGULAR,165
03-Feb,W3KPP17102A/B,0.4 X 1070 X RAL 9002,2360,REGULAR,REGULAR,165
05-02-2024,23B4BQ3000,0.45 X 1220 X BRICK RED,450,REGULAR,BOP,163
05-02-2024,23A6HU3000,0.45 X 1220 X BRICK RED,70,REGULAR,BOP,163
07-02-2024,M3101240510-1,0.5 X 1060 X SS,990,JAPHA,Vivek,161
09-02-2024,KC3ACL1511,0.6 X 1220 X SKU BLUE,475,REGULAR,REGULAR,159
09-02-2024,KC3ACK2371,0.4 X 1220 X RAL 7015,80,REGULAR,BOP,159
09-02-2024,KC2ADA1990,0.4 X 1220 X RAL 7015,230,REGULAR,BOP,159
13-02-2024,KC2ADA1268,0.47 X 1220 X RAL 7015,235,REGULAR,BOP,155
15-02-2024,AC1ACL0861,0.4 X 1070 X RAL 9002,215,REGULAR,BOP,153
19-02-2024,TC1ADA1416,0.5 X 1150 X RAL 9006 SMP,809,HEAVEN,Senthil,149
22-02-2024,TC1ADA1581,0.5 X 1220 X RAL 9006,178,ELSHADAI,BOP,146
22-02-2024,TC1ADA1605,0.7 X 1150 X RAL 1003,1465,CHINA CONSTRUCTION,Senthil,146
22-02-2024,TC2ADA5811,0.7 X 1150 X RAL 9010,2600,CHINA CONSTRUCTION,Senthil,146
22-02-2024,TC1ADA1606,0.7 X 1150 X RAL 1003,210,CHINA CONSTRUCTION,BOP,146
22-02-2024,TANRDA2132,0.5 X 1220 X RAL 9002,1680,KARTHIKEYA,Others,146
22-02-2024,TC1ACK0833,0.6 X 1220 X RAL 9002,3720,BEARY,Manoj,146
22-02-2024,TC1ADA1580,0.5 X 1220 X RAL 9006,3875,ELSHADAI,Senthil,146
23-02-2024,2392WL1000,0.45 X 1220 X CAULIFIELD GREEN,3875,REGULAR,REGULAR,145
23-02-2024,24APL00975,0.4 X 1220 X RAL 7015,235,REGULAR,BOP,145
23-02-2024,24BPL01993,0.4 X 1220 X RAL 9002,970,REGULAR,REGULAR,145
23-02-2024,24BPL01500,0.4 X 1220 X RAL 9002,1250,REGULAR,REGULAR,145
25-02-2024,KC3ACI1430,0.47 X 1220 X ORANGE,1565,REGULAR,REGULAR,143
25-02-2024,TC1ACI0767,0.5 X 1220 X SURFMIST,840,EVEREST,Manoj,143
25-02-2024,TC1ACI0766,0.5 X 1220 X SURFMIST,170,EVEREST,BOP,143
26-02-2024,A3C1658210,0.5 X 1085 X RAL 9002,670,ROHAN BUILDERS,Manoj,142
26-02-2024,A3C1337130,0.5 X 1085 X RAL 9002,945,ROHAN BUILDERS,Manoj,142
26-02-2024,A3C1658220,0.5 X 1220 X RAL 9002,645,REGULAR,REGULAR,142
28-02-2024,W3KPP17750,0.47 X 1220 X DARK GREY,915,REGULAR,REGULAR,140
28-02-2024,W3KPP17752,0.47 X 1220 X DARK GREY,2025,REGULAR,REGULAR,140
04-Mar,TC2ADB6800,0.5 X 1085 X RAL 9002,1060,DOOTH,Manoj,135
04-Mar,TC2ADB6804,0.5 X 1085 X RAL 9002,658,Amar Steel,Manoj,135
05-Mar,AC1ADB0146,0.35 X 1070 X RAL 9002,225,pressmech,BOP,134
05-Mar,KC2ACJ1333,0.3 X 1070 X RAL 9002,515,REGULAR,BOP,134
05-Mar,KC2ACJ1342,0.3 X 1070 X RAL 9002,340,REGULAR,BOP,134
05-Mar,AC1ADB0139,0.35 X 1070 X RAL 9002,710,pressmech,Senthil,134
05-Mar,AC1ADB0141,0.35 X 1070 X RAL 9002,170,pressmech,BOP,134
06-03-2024,TC2ADB6801,0.5 X 1220 X RAL 9002,1460,REGULAR,REGULAR,133
06-03-2024,KC3ADB2108,0.4 X 1220 X BEIGE,165,RAMRAJ COTTON,BOP,133
06-03-2024,AC1ADB0133,0.35 X 1220 X RAL 9002,945,REGULAR,REGULAR,133
06-03-2024,AC1ADB0132,0.35 X 1220 X RAL 9002,725,REGULAR,REGULAR,133
06-03-2024,AC1ADB0135,0.35 X 1220 X RAL 9002,219,REGULAR,BOP,133
08-03-2024,24CPL02992,0.35 X 1220 X RAL 7015,190,REGULAR,BOP,131
08-03-2024,24BPL01486,0.4 X 1220 X BRICK RED,590,REGULAR,BOP,131
09-03-2024,W4APP02508,0.5 X 1065 X RAL 9002,2000,FABEX,Others,130
09-03-2024,KC1ADA0746,0.35 X 1220 X RAL 9002,480,REGULAR,BOP,130
09-03-2024,24CA0007799,0.5 X 1220 X ALUMINIUM GREY,135,REGULAR,REGULAR,130
14-03-2024,W3EPP4245,0.4 X 1220 X RAL 9002,2347,REGULAR,REGULAR,125
15-03-2024,TAJRDC2059,0.5 X 1220 X BGL,1352,halley blue,Others,124
15-03-2024,TV2ADB6308,0.5 X 1220 X BGL,200,KIRBY,BOP,124
15-03-2024,TV3ADB5549,0.5 X 1220 X BGL,95,KIRBY,BOP,124
20-03-2024,VC1ADC1110,0.5 X 1220 X RAL 9002 PVDF,3740,EVEREST,Manoj,119
20-03-2024,VC1ADC1126,0.5 X 1080 X RAL 9002 PVDF,3945,EVEREST,Manoj,119
20-03-2024,VC1ADC1119,0.5 X 1065 X RAL 9002 PVDF,4020,EVEREST,Manoj,119
20-03-2024,VC1ADC1124,0.5 X 1080 X RAL 9002 PVDF,3960,EVEREST,Manoj,119
20-03-2024,VC1ADC1115,0.5 X 1080 X RAL 9002 PVDF,3105,EVEREST,Manoj,119
20-03-2024,VC1ADC1118,0.5 X 1080 X RAL 9002 PVDF,3795,EVEREST,Manoj,119
20-03-2024,VC1ADC1117,0.5 X 1080 X RAL 9002 PVDF,3800,EVEREST,Manoj,119
20-03-2024,VC1ADC1116,0.5 X 1080 X RAL 9002 PVDF,3815,EVEREST,Manoj,119
21-03-2024,VC1ADC0406,0.5 X 1060 X RAL 9002 SDP,400,SRILANKA,Others,118
21-03-2024,VC1ADC0705,0.5 X 1220 X RAL 9002 SDP,490,SRILANKA,BOP,118
21-03-2024,VC1ADC0706,0.5 X 1220 X RAL 9002 SDP,4100,SRILANKA,Others,118
21-03-2024,VC1ADC0709,0.5 X 1220 X RAL 9002 SDP,1795,SRILANKA,Others,118
21-03-2024,VC1ADC0711,0.5 X 1220 X RAL 9002 SDP,225,SRILANKA,Others,118
21-03-2024,VC1ADC0713,0.5 X 1220 X RAL 9002 SDP,610,SRILANKA,BOP,118
21-03-2024,VC1ADC1131,0.5 X 1220 X RAL 5012 PVDF,70,EVEREST,BOP,118
21-03-2024,VC1ADC1129,0.5 X 1220 X RAL 5012 PVDF,4055,EVEREST,Manoj,118
21-03-2024,VC1ADC1130,0.5 X 1220 X RAL 5012 PVDF,4060,EVEREST,Manoj,118
21-03-2024,VC1ADC1112,0.5 X 1080 X RAL 9002 PVDF,3430,EVEREST,Manoj,118
21-03-2024,VC1ADC1125,0.5 X 1080 X RAL 9002 PVDF,970,EVEREST,Manoj,118
21-03-2024,VC1ADC1113,0.5 X 1080 X RAL 9002 PVDF,3425,EVEREST,Manoj,118
21-03-2024,VC1ADC1123,0.5 X 1080 X RAL 9002 PVDF,3960,EVEREST,Manoj,118
22-03-2024,KC2ACJ1329,0.3 X 1070 X RAL 9002,180,REGULAR,BOP,117
23-03-2024,2422NB5000,0.4 X 1220 X RAL 9002,415,AZ STEEL,BOP,116
23-03-2024,2384WL2000,0.4 X 1220 X RAL 9002,905,AZ STEEL,Others,116
23-03-2024,VC1ADC1135,0.5 X 1220 X RAL 9002 PVDF,1890,EVEREST,Manoj,116
23-03-2024,24CA0006265,0.5 X 1220 X GREY ALUMINIUM,390,ORIENTAL,Manoj,116
26-03-2024,ACIACK1065,0.35 X 1220 X SKY BLUE,530,REGULAR,REGULAR,113
26-03-2024,U4CPP06177,0.35 X 1220 X RAL 9002,215,REGULAR,BOP,113
26-03-2024,W4CPP06202,0.5 X 1220 X BRICK RED,1035,REGULAR,REGULAR,113
26-03-2024,KC2RCK1004,0.45 X 1220 X MIST GREEN,240,REGULAR,BOP,113
26-03-2024,U4BPP03073,0.4 X 1070 X RAL 9002,185,REGULAR,BOP,113
27-03-2024,2393ZJ3000,0.45 X 1220 X GREY,210,REGULAR,BOP,112
27-03-2024,KC2ADB3523,0.5 X 1085 X RAL 9006,515,DOOTH,Manoj,112
28-03-2024,K421209120,0.5 X 1220 X RAL 7045,3200,RUPOLCAR,Manoj,111
28-03-2024,K421209110,0.5 X 1220 X RAL 7045,4945,RUPOLCAR,Manoj,111
28-03-2024,AC1ACI1861,0.4 X 1070 X RAL 9003,815,ATS,Senthil,111
28-03-2024,AC1ACI1864,0.4 X 1070 X RAL 9003,620,ATS,Senthil,111
29-03-2024,VC1ADC1109,0.5 X 1220 X RAL 9002 PVDF,3765,EVEREST,Manoj,110
29-03-2024,MLK/11A24/0358,0.8 X 1060 X RAL 9002,4114,COLD STORAGE,Vivek,110
29-03-2024,MLK/11A24/0359,0.8 X 1060 X RAL 9002,4548,COLD STORAGE,Vivek,110
29-03-2024,MLK/11A24/0360,0.8 X 1060 X RAL 9002,4360,COLD STORAGE,Vivek,110
29-03-2024,MLK/11A24/0361,0.8 X 1060 X RAL 9002,4364,COLD STORAGE,Vivek,110
30-03-2024,U4CPP07044,0.5 X 1070 X RAL 9002,140,GOWRA,BOP,109
30-03-2024,U4CPP07038,0.5 X 1070 X RAL 9002,2190,GOWRA,Senthil,109
30-03-2024,U4CPP06989,0.4 X 1220 X RAL 9002,230,REGULAR,BOP,109
30-03-2024,U4CPP06986,0.4 X 1220 X RAL 9002,120,REGULAR,BOP,109
30-03-2024,U4CPP06971,0.4 X 1220 X RAL 9002,150,REGULAR,BOP,109
30-03-2024,KC3ADC2632,0.5 X 1080 X SURFMIST,3870,EVEREST,Manoj,109
30-03-2024,KC3ADC2629,0.5 X 1080 X SURFMIST,555,EVEREST,Manoj,109
30-03-2024,KC3ADC2624,0.5 X 1080 X SURFMIST,4610,EVEREST,Manoj,109
30-03-2024,VC1ADC1114,0.5 X 1080 X RAL 9002 PVDF,2945,EVEREST,Manoj,109
30-03-2024,VC1ADC1663,0.8 X 1060 X RAL 9002,1150,EVEREST,Manoj,109
30-03-2024,VC1ADC1666,0.8 X 1060 X RAL 9002,1215,EVEREST,Manoj,109
30-03-2024,VC1ADC1658,0.8 X 1220 X RAL 5012,1200,EVEREST,Manoj,109
30-03-2024,VC1ADC1659,0.8 X 1220 X RAL 5012,2570,EVEREST,Manoj,109
01-Apr,KC2ADA3111,0.5 X 1220 X RAL 9006,110,ELSHADAI,Senthil,107
05-Apr,W4CPP05573,0.4 X 1070 X RAL 9002,295,REGULAR,BOP,103
06-Apr,KC2ADC0587,0.5 X 1220 X RAL 9002,1595,REGULAR,REGULAR,102
06-Apr,KC2ACI2995,0.4 X 1070 X RAL 9002,871,REGULAR,REGULAR,102
08-Apr,C0124C1386,0.3 X 1060 X RAL 9002,460,REGULAR,REGULAR,100
09-04-2024,23A3MA2000,0.47 X 1220 X SKY BLUE,3885,REGULAR,REGULAR,99
09-04-2024,24030115,0.3 X 1060 X RAL 9002,1513,REGULAR,REGULAR,99
09-04-2024,24030118,0.3 X 1060 X RAL 9002,535,REGULAR,BOP,99
09-04-2024,24030119,0.3 X 1060 X RAL 9002,310,REGULAR,BOP,99
11-04-2024,KC3ACK2022,0.5 X 1220 X SLATE GREY,2190,METAL FAB,Manoj,97
11-04-2024,,0.47 X 1220 X CHOCLATE BROWN,815,HARIOM,Senthil,97
15-04-2024,24BPL01617,0.45 X 1220 X RAL 1001,1050,ACE MATRIX,Manoj,93
15-04-2024,KC2ADC3090,0.35 X 1220 X MIST GREEN,65,REGULAR,BOP,93
17-04-2024,24DPL06373,0.6 X 1220 X RAL 9002,3780,REGULAR,REGULAR,91
17-04-2024,24DPL06371,0.6 X 1220 X RAL 9002,3542,REGULAR,REGULAR,91
17-04-2024,24DPL06370,0.6 X 1220 X RAL 9002,3427,REGULAR,REGULAR,91
17-04-2024,KC2ADA3115,0.5 X 1220 X RAL 9006,974,ELSHADAI,Senthil,91
17-04-2024,,0.5 X 1220 X RAL 9006,3460,ELSHADAI,Senthil,91
20-04-2024,W4DPP08358,0.5 X 1085 X RAL 9002,1765,SRITHIKA,Regular,88
22-04-2024,24CPL04908,0.4 X 1220 X BRICK RED,505,REGULAR,BOP,86
22-04-2024,24CPL03650,0.4 X 1220 X GREY,685,REGULAR,REGULAR,86
22-04-2024,24CPL03647,0.4 X 1220 X GREY,505,REGULAR,BOP,86
22-04-2024,24DPL07378,0.45 X 1220 X BEIGE,4855,REGULAR,REGULAR,86
22-04-2024,TC1ADD0115,0.5 X 1150 X RAL 9002,1530,GOWRA,Senthil,86
22-04-2024,TC1ADC1540,0.5 X 1220 X RAL 9002,310,GOWRA,Senthil,86
22-04-2024,TC2ADD5635,0.5 X 1080 X RAL 9002,3830,AMAR STEEL,Manoj,86
22-04-2024,TC2ADD5636,0.5 X 1080 X RAL 9002,3815,AMAR STEEL,Manoj,86
23-04-2024,K391872220,0.5 X 1220 X BRICK RED,1550,ASCENT,Regular,85
23-04-2024,K390747120,0.5 X 1220 X BRICK RED,645,ASCENT,Regular,85
23-04-2024,KC3ACL0374,0.47 X 1220 X MIST GREEN,610,REGULAR,REGULAR,85
25-04-2024,KC3ADC2982,0.5 X 1080 X SURFMIST,4940,enmax,Senthil,83
25-04-2024,KC3ADC2984,0.5 X 1080 X SURFMIST,2610,enmax,Senthil,83
25-04-2024,KC3ADC2985,0.5 X 1080 X SURFMIST,3900,enmax,Senthil,83
25-04-2024,TAPRDA2129,0.5 X 1060 X RAL 9002,2800,srilanka export,Senthil,83
25-04-2024,TAPRDC2101,0.5 X 1080 X RAL 9002,3810,AMAR STEEL,Manoj,83
25-04-2024,TAPRDC2102,0.5 X 1080 X RAL 9002,1330,AMAR STEEL,Manoj,83
25-04-2024,KC2ADC2110,0.47 X 1220 X SLATE GREY,3550,REGULAR,REGULAR,83
26-04-2024,W3LGL15456,0.47 X 1220 X BGL,615,REGULAR,REGULAR,82
29-04-2024,2372YH3000,0.45 X 1220 X GREY,2270,REGULAR,REGULAR,79
29-04-2024,2372JX4000,0.45 X 1220 X GREY,3292,REGULAR,REGULAR,79
30-04-2024,U4CPP07021,0.45 X 1220 X DARK GREY,980,REGULAR,REGULAR,78
30-04-2024,U4CPP07014,0.45 X 1220 X DARK GREY,4255,REGULAR,REGULAR,78
30-04-2024,U4CPP06984,0.35 X 1220 X RAL 9002,290,REGULAR,BOP,78
30-04-2024,U4CPP06180,0.35 X 1220 X RAL 9002,680,REGULAR,BOP,78
02-May,C0124D0879,0.6 X 1060 X RAL 9002,1200,COLD STORAGE,Vivek,76
02-May,C0124D0881,0.6 X 1060 X RAL 9002,1670,COLD STORAGE,Vivek,76
02-May,C0124D0884,0.5 X 1060 X RAL 9002,4450,GT INDUSTRY,Vivek,76
02-May,C0124D0885,0.5 X 1060 X RAL 9002,4390,GT INDUSTRY,Vivek,76
02-May,C0124D0887,0.5 X 1060 X RAL 9002,2323,GT INDUSTRY,Vivek,76
02-May,C0124D0886,0.5 X 1060 X RAL 9002,3950,GT INDUSTRY,Vivek,76
04-May,4114302100,0.47 X 1220 X SURFMIST,4765,SUN INDUSTRIES,Others,74
04-May,4113831000,0.47 X 1220 X SURFMIST,4410,SUN INDUSTRIES,Others,74
09-May,KC2ADC0571,0.4 X 1220 X RAL 7015,1045,REGULAR,REGULAR,69
09-May,VC1ADD1976,0.5 X 1220 X RAL 5012,450,GLASS FAB,Manoj,69
10-May,2443TP1400,0.4 X 1220 X BRICK RED,175,REGULAR,BOP,68
10-May,KC2RDC0020,0.4 X 1220 X RAL 7015,985,REGULAR,REGULAR,68
10-May,W4BPP04389,0.4 X 1220 X BRICK RED,220,REGULAR,BOP,68
10-May,W4CPP05578,0.3 X 1070 X RAL 9002,290,REGULAR,BOP,68
10-May,W4CPP05580,0.3 X 1070 X RAL 9002,290,REGULAR,BOP,68
10-May,W4CPP05581,0.3 X 1070 X RAL 9002,2000,REGULAR,BOP,68
10-05-2024,W4EPP10600,0.5 X 1220 X RAL 9002,4560,coastal,Senthil,68
10-05-2024,W4CPP06201,0.5 X 1220 X RAL 9002,4965,REGULAR,REGULAR,68
10-05-2024,W4DPP08357,0.5 X 1150 X RAL 9002,2725,Multi colour,Regular,68
11-05-2024,W4CPP06251,0.5 X 1065 X RAL 9002,1500,REGULAR,REGULAR,67
11-05-2024,W4EPP10605,0.5 X 1220 X RAL 9002,3085,SUNANDA,Vivek,67
11-05-2024,W4EPP10604,0.5 X 1150 X RAL 9002,5105,Multi colour,Senthil,67
11-05-2024,W4EPP10606,0.5 X 1220 X RAL 9002,5055,SUNANDA,Vivek,67
12-05-2024,24DPL07666,0.38 X 1220 X RAL 7015,1350,REGULAR,REGULAR,66
12-05-2024,24DPL07665,0.38 X 1220 X RAL 7015,335,REGULAR,BOP,66
12-05-2024,24EPL09025,0.45 X 1070 X RAL 7038,3920,halley blue,Senthil,66
12-05-2024,24EPL09017,0.45 X 1070 X RAL 7038,2686,halley blue,Senthil,66
12-05-2024,2443SD2000,0.4 X 1220 X RAL 9002,455,REGULAR,REGULAR,66
12-05-2024,24431U2000,0.4 X 1220 X RAL 9002,185,REGULAR,BOP,66
13-05-2024,VC3ADE0576,0.5 X 1065 X RAL 9006,2985,METECNO THAILAND,Others,65
14-05-2024,KC3ADA0472,0.5 X 1085 X RAL 9002,510,TATA STEEL,Others,64
